,Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments,Group,Channel_name,Subscribers,Comments_rate,Likes_rate,Views_rate
2391,BLACKPINK - LISA 'Forever Young' FOCUSED CAMERA,2018-07-26T03:00:01Z,8015221.0,386029.0,11474.0,famed,BLACKPINK,74100000,0.015484480431848854,0.5209568151147098,10.816762483130905
2392,BLACKPINK - JENNIE 'Forever Young' FOCUSED CAMERA,2018-07-24T03:00:02Z,3610099.0,185903.0,6921.0,famed,BLACKPINK,74100000,0.009340080971659918,0.2508812415654521,4.871928475033738
2393,BLACKPINK - ‘FOREVER YOUNG’ 0722 SBS Inkigayo,2018-07-22T05:54:20Z,11817660.0,426867.0,20005.0,famed,BLACKPINK,74100000,0.026997300944669365,0.5760688259109312,15.94825910931174
2394,BLACKPINK - JISOO 'Forever Young' FOCUSED CAMERA,2018-07-18T01:00:02Z,11597488.0,636213.0,23669.0,famed,BLACKPINK,74100000,0.03194197031039136,0.858587044534413,15.651130904183535
2395,BLACKPINK - ROSÉ 'Forever Young' FOCUSED CAMERA,2018-07-16T05:00:00Z,3159488.0,176236.0,7248.0,famed,BLACKPINK,74100000,0.009781376518218622,0.23783535762483132,4.263816464237516
2396,BLACKPINK - ‘FOREVER YOUNG’ 0715 SBS Inkigayo,2018-07-15T07:36:24Z,34756028.0,853117.0,31933.0,famed,BLACKPINK,74100000,0.0430944669365722,1.1513049932523616,46.90422132253711
2397,BLACKPINK - ‘SQUARE UP’ FAN SIGNING DAY IN YEOUIDO,2018-07-11T03:00:00Z,1070686.0,122388.0,5253.0,famed,BLACKPINK,74100000,0.007089068825910931,0.16516599190283401,1.4449203778677464
2398,BLACKPINK - JISOO '뚜두뚜두 (DDU-DU DDU-DU)' FOCUSED CAMERA,2018-07-11T01:00:00Z,9717220.0,461431.0,17727.0,famed,BLACKPINK,74100000,0.023923076923076922,0.6227139001349528,13.11365721997301
2399,BLACKPINK - ROSÉ '뚜두뚜두 (DDU-DU DDU-DU)' FOCUSED CAMERA,2018-07-10T00:00:02Z,5978026.0,306554.0,12085.0,famed,BLACKPINK,74100000,0.016309041835357623,0.4137031039136302,8.067511470985156
2400,BLACKPINK - JENNIE '뚜두뚜두 (DDU-DU DDU-DU)' FOCUSED CAMERA,2018-07-09T08:00:00Z,9195976.0,326757.0,12993.0,famed,BLACKPINK,74100000,0.017534412955465588,0.4409676113360324,12.410224021592441
2401,BLACKPINK - ‘뚜두뚜두 (DDU-DU DDU-DU)’ 0708 SBS Inkigayo  : NO.1 OF THE WEEK,2018-07-08T06:13:14Z,3820448.0,223129.0,12235.0,famed,BLACKPINK,74100000,0.016511470985155194,0.3011187584345479,5.155800269905534
2402,BLACKPINK - LISA '뚜두뚜두 (DDU-DU DDU-DU)' FOCUSED CAMERA,2018-07-03T07:30:02Z,13769123.0,651666.0,22210.0,famed,BLACKPINK,74100000,0.029973009446693656,0.8794412955465587,18.58181241565452
2403,BLACKPINK - ‘뚜두뚜두 (DDU-DU DDU-DU)’ 0701 SBS Inkigayo  : NO.1 OF THE WEEK,2018-07-01T04:49:20Z,4368230.0,256531.0,14890.0,famed,BLACKPINK,74100000,0.0200944669365722,0.34619568151147095,5.895047233468286
2404,BLACKPINK - ‘SQUARE UP’ FAN SIGNING DAY IN GOYANG,2018-06-28T07:00:01Z,1107166.0,124827.0,4675.0,famed,BLACKPINK,74100000,0.006309041835357625,0.1684574898785425,1.4941511470985154
2405,BLACKPINK - ‘뚜두뚜두 (DDU-DU DDU-DU)’ 0624 SBS Inkigayo  : NO.1 OF THE WEEK,2018-06-24T05:57:01Z,7423943.0,343508.0,13150.0,famed,BLACKPINK,74100000,0.01774628879892038,0.4635735492577598,10.018816464237517
2406,BLACKPINK - 'Forever Young' DANCE PRACTICE VIDEO (MOVING VER.),2018-06-21T01:00:01Z,210250151.0,3589860.0,123570.0,famed,BLACKPINK,74100000,0.16676113360323885,4.844615384615385,283.73839541160595
2407,BLACKPINK - '뚜두뚜두 (DDU-DU DDU-DU)' DANCE PRACTICE VIDEO (MOVING VER.),2018-06-18T03:00:02Z,447762133.0,5204615.0,181219.0,famed,BLACKPINK,74100000,0.2445600539811066,7.023771929824561,604.2673859649124
2408,BLACKPINK - ‘뚜두뚜두 (DDU-DU DDU-DU)’ 0617 SBS Inkigayo,2018-06-17T06:32:51Z,41938865.0,1070098.0,33863.0,famed,BLACKPINK,74100000,0.04569905533063428,1.4441268556005398,56.59765856950067
2409,BLACKPINK - ‘FOREVER YOUNG’ 0617 SBS Inkigayo,2018-06-17T06:29:14Z,62431781.0,1105112.0,40381.0,famed,BLACKPINK,74100000,0.05449527665317139,1.4913792172739542,84.25341565452091
2410,BLACKPINK - '뚜두뚜두 (DDU-DU DDU-DU)' M/V MAKING FILM,2018-06-16T14:00:07Z,12906179.0,850099.0,19432.0,famed,BLACKPINK,74100000,0.026224021592442647,1.1472321187584347,17.41724561403509
2411,BLACKPINK - ‘뚜두뚜두 (DDU-DU DDU-DU)’ M/V,2018-06-15T09:00:05Z,1866695533.0,21025819.0,2593701.0,famed,BLACKPINK,74100000,3.5002712550607287,28.374924426450743,2519.1572645074225
2412,BLACKPINK - 1st MINI ALBUM 'SQUARE UP' SAMPLER,2018-06-15T09:00:03Z,3531844.0,368771.0,10812.0,famed,BLACKPINK,74100000,0.014591093117408908,0.49766666666666665,4.766321187584346
2413,BLACKPINK - ‘뚜두뚜두 (DDU-DU DDU-DU)’ M/V TEASER,2018-06-14T00:00:03Z,29304978.0,1829632.0,121799.0,famed,BLACKPINK,74100000,0.1643711201079622,2.469139001349528,39.54787854251013
2414,BLACKPINK - 'SQUARE UP' LISA MOVING POSTER,2018-06-09T00:00:02Z,5056424.0,495657.0,23180.0,famed,BLACKPINK,74100000,0.03128205128205128,0.6689028340080971,6.82378407557355
2415,BLACKPINK - 'SQUARE UP' JENNIE MOVING POSTER,2018-06-08T00:00:00Z,4422118.0,432065.0,18144.0,famed,BLACKPINK,74100000,0.02448582995951417,0.5830836707152497,5.967770580296896
2416,BLACKPINK - 'SQUARE UP' JISOO MOVING POSTER,2018-06-07T00:00:01Z,4175807.0,440597.0,16858.0,famed,BLACKPINK,74100000,0.022750337381916327,0.5945978407557355,5.635367071524966
2417,BLACKPINK - 'SQUARE UP' ROSÉ MOVING POSTER,2018-06-06T01:40:02Z,6285111.0,583162.0,32432.0,famed,BLACKPINK,74100000,0.04376788124156546,0.7869932523616735,8.48193117408907
2418,BLACKPINK - 'AS IF IT'S YOUR LAST' from BLACKPINK PREMIUM DEBUT SHOWCASE,2018-03-23T09:00:02Z,3261067.0,150671.0,6484.0,famed,BLACKPINK,74100000,0.008750337381916329,0.20333468286099862,4.400900134952766
2419,BLACKPINK - 'BOOMBAYAH' from BLACKPINK PREMIUM DEBUT SHOWCASE,2018-03-19T09:00:01Z,13755380.0,454686.0,16762.0,famed,BLACKPINK,74100000,0.022620782726045882,0.6136113360323886,18.563265856950068
2420,BLACKPINK - ‘블핑하우스 (BLACKPINK HOUSE)’ EP.11-5,2018-03-18T05:00:03Z,6832646.0,242392.0,10111.0,famed,BLACKPINK,74100000,0.013645074224021591,0.32711470985155194,9.220844804318489
